Name,GPS,DateTime,NO2,O3_1hr,O3_4hr,CO,PM10,PM2.5,AQI_CO,AQI_NO2,AQI_O3_1hr,AQI_O3_4hr,AQI_PM10,AQI_PM2.5,AQI_Site,Date,Time
Monash,"(-35.418302, 149.094018)",07/04/2020 18:00,0,0.024,0.027,0,6.12,3.6,0,0,24,34,12,14,34,07-Apr-20,18:00:00
Civic,"(-35.285307, 149.131579)",07/04/2020 18:00,,0.013,0.019,0,7.57,4.33,0,0,13,24,15,17,24,07-Apr-20,18:00:00
Florey,"(-35.220606, 149.043539)",07/04/2020 18:00,0.006,0.02,0.025,0.08,8.02,6.4,0,5,20,32,16,25,32,07-Apr-20,18:00:00
Civic,"(-35.285307, 149.131579)",07/04/2020 20:00,,0.007,0.013,0,7.92,4.57,0,0,7,16,15,18,18,07-Apr-20,20:00:00
Monash,"(-35.418302, 149.094018)",07/04/2020 20:00,0.018,0.002,0.015,0.01,6.85,3.69,0,15,2,19,13,14,19,07-Apr-20,20:00:00
Florey,"(-35.220606, 149.043539)",07/04/2020 20:00,0.015,0.002,0.016,0.12,8.38,6.49,1,12,2,20,16,25,25,07-Apr-20,20:00:00
Florey,"(-35.220606, 149.043539)",07/04/2020 21:00,0.009,0.007,0.011,0.13,8.42,6.63,1,8,7,13,16,26,26,07-Apr-20,21:00:00
Monash,"(-35.418302, 149.094018)",07/04/2020 21:00,0.008,0.011,0.011,0.03,7.44,4.37,0,6,11,14,14,17,17,07-Apr-20,21:00:00
Monash,"(-35.418302, 149.094018)",07/04/2020 22:00,0,0.02,0.01,0.02,7.73,4.55,0,0,20,13,15,18,20,07-Apr-20,22:00:00
Civic,"(-35.285307, 149.131579)",07/04/2020 21:00,,0.016,0.011,0,8.17,4.67,0,0,16,14,16,18,18,07-Apr-20,21:00:00
Civic,"(-35.285307, 149.131579)",07/04/2020 22:00,,0.018,0.012,0,8.53,4.78,0,0,18,15,17,19,19,07-Apr-20,22:00:00
Florey,"(-35.220606, 149.043539)",07/04/2020 22:00,0,0.018,0.01,0.13,8.43,6.84,1,0,18,13,16,27,27,07-Apr-20,22:00:00
Civic,"(-35.285307, 149.131579)",07/04/2020 23:00,,0.017,0.014,0,8.69,4.89,0,0,17,18,17,19,19,07-Apr-20,23:00:00
Florey,"(-35.220606, 149.043539)",07/04/2020 23:00,0,0.019,0.011,0.13,8.58,6.68,1,0,19,14,17,26,26,07-Apr-20,23:00:00
Monash,"(-35.418302, 149.094018)",07/04/2020 23:00,0,0.019,0.013,0.01,7.74,4.63,0,0,19,16,15,18,19,07-Apr-20,23:00:00
